         n,            x ,         t,                    s,     Pk,     k,    epsilon 
      56       0  0.56000000E-01  0.00000000E+00  0.50220675E-04  0.61366298E-02  0.32965493E-02
      57       0  0.57000000E-01  0.00000000E+00  0.50220675E-04  0.61355888E-02  0.32932228E-02
      58       0  0.58000000E-01  0.00000000E+00  0.50220675E-04  0.61345478E-02  0.32898964E-02
      59       0  0.59000000E-01  0.00000000E+00  0.50220675E-04  0.61335068E-02  0.32865699E-02
      60       0  0.60000000E-01  0.00000000E+00  0.50220675E-04  0.61324658E-02  0.32832434E-02
      61       0  0.61000000E-01  0.00000000E+00  0.50220675E-04  0.61314249E-02  0.32799170E-02
      62       0  0.62000000E-01  0.00000000E+00  0.50220675E-04  0.61303839E-02  0.32765905E-02
      63       0  0.63000000E-01  0.00000000E+00  0.50220675E-04  0.61293429E-02  0.32732641E-02
      64       0  0.64000000E-01  0.00000000E+00  0.50220675E-04  0.61283019E-02  0.32699376E-02
      65       0  0.65000000E-01  0.00000000E+00  0.50220675E-04  0.61272609E-02  0.32666111E-02
      66       0  0.66000000E-01  0.00000000E+00  0.50220675E-04  0.61262199E-02  0.32632847E-02
      67       0  0.67000000E-01  0.00000000E+00  0.50220675E-04  0.61251790E-02  0.32599582E-02
      68       0  0.68000000E-01  0.00000000E+00  0.50220675E-04  0.61241380E-02  0.32566318E-02
      69       0  0.69000000E-01  0.00000000E+00  0.50220675E-04  0.61230970E-02  0.32533053E-02
      70       0  0.70000000E-01  0.00000000E+00  0.50220675E-04  0.61220560E-02  0.32499789E-02
      71       0  0.71000000E-01  0.00000000E+00  0.50220675E-04  0.61210150E-02  0.32466524E-02
      72       0  0.72000000E-01  0.00000000E+00  0.50220675E-04  0.61199740E-02  0.32433259E-02
      73       0  0.73000000E-01  0.00000000E+00  0.50220675E-04  0.61189331E-02  0.32399995E-02
      74       0  0.74000000E-01  0.00000000E+00  0.50220675E-04  0.61178921E-02  0.32366730E-02
      75       0  0.75000000E-01  0.00000000E+00  0.50220675E-04  0.61168511E-02  0.32333466E-02
      76       0  0.76000000E-01  0.00000000E+00  0.50220675E-04  0.61158101E-02  0.32300201E-02
